tag, type, x, y, z, ad1, time, real_time, acc
1,Linearaccel,-1.1470671,-1.0262601,-0.33423996,0,13747,1475565889516,3
1,Linearaccel,-0.21699333,-2.3594284,-0.7104627,0,13797,1475565889566,3
1,Linearaccel,-0.09099293,-1.835434,-0.5364009,0,13847,1475565889616,3
1,Linearaccel,-0.5056257,-1.3181965,-0.07413864,0,13898,1475565889667,3
1,Linearaccel,-1.3427658,-1.8516765,-0.27523673,0,13948,1475565889717,3
1,Linearaccel,-1.3664732,-1.817493,-0.26964414,0,13998,1475565889767,3
1,Linearaccel,-1.2235212,-1.7936461,-0.08070886,0,14049,1475565889818,3
1,Linearaccel,-1.0543957,-1.8537617,-0.07080269,0,14099,1475565889868,3
1,Linearaccel,-0.43923092,-1.8483641,-0.26585317,0,14149,1475565889918,3
1,Linearaccel,0.06562519,-1.7466834,-0.5760504,0,14200,1475565889969,3
1,Linearaccel,0.46674633,-1.482399,-0.96272814,0,14250,1475565890019,3
1,Linearaccel,2.1930008,-1.6449742,-0.98274183,0,14301,1475565890070,3
1,Linearaccel,0.44177055,-0.9431,-0.93727255,0,14351,1475565890120,3
1,Linearaccel,1.4961691,-1.3142507,-1.0691411,0,14401,1475565890170,3
1,Linearaccel,2.5406637,-0.29720306,-1.1909508,0,14452,1475565890221,3
1,Linearaccel,0.6919155,1.3248014,-0.8145356,0,14502,1475565890271,3
1,Linearaccel,-0.02361393,1.7726431,-1.0929021,0,14552,1475565890321,3
1,Linearaccel,0.32505178,1.8954797,-1.3407221,0,14603,1475565890372,3
1,Linearaccel,0.3336959,2.85634,-1.3049574,0,14653,1475565890422,3
1,Linearaccel,0.070234776,3.3567057,-1.2462668,0,14703,1475565890472,3
1,Linearaccel,-0.004237175,2.9602141,-1.2313764,0,14754,1475565890523,3
1,Linearaccel,0.7634039,2.4850626,-1.0852084,0,14804,1475565890573,3
1,Linearaccel,1.2106614,2.0244699,-0.8758228,0,14854,1475565890623,3
1,Linearaccel,1.8408265,1.2273579,-0.6144167,0,14905,1475565890674,3
1,Linearaccel,3.579546,0.41915655,-0.5520303,0,14955,1475565890724,3
1,Linearaccel,0.8011646,0.5473275,-0.22279859,0,15005,1475565890774,3
1,Linearaccel,-0.11182785,-0.4326439,-0.1393354,0,15056,1475565890825,3
1,Linearaccel,0.37415218,-1.6348631,-0.30004907,0,15106,1475565890875,3
1,Linearaccel,-0.60066795,-1.386626,0.093361616,0,15157,1475565890926,3
1,Linearaccel,-1.045784,-2.4499173,0.12816906,0,15207,1475565890976,3
1,Linearaccel,-1.1699476,-3.0870202,-0.1539861,0,15257,1475565891026,3
1,Linearaccel,-1.3661718,-3.1576164,0.08213258,0,15308,1475565891077,3
1,Linearaccel,-1.4859266,-3.1371245,0.08589089,0,15358,1475565891127,3
1,Linearaccel,-0.8726702,-2.8799014,-0.025788784,0,15408,1475565891177,3
1,Linearaccel,-0.06542015,-2.3542814,-0.1242007,0,15459,1475565891228,3
1,Linearaccel,1.0685177,-1.8145912,-0.12220132,0,15509,1475565891278,3
1,Linearaccel,3.6400309,-1.7770412,0.06144941,0,15559,1475565891328,3
1,Linearaccel,0.739995,-0.3203032,-6.1404705E-4,0,15610,1475565891379,3
1,Linearaccel,-0.42945004,0.026458263,-0.39780498,0,15660,1475565891429,3
1,Linearaccel,1.1665192,0.93103075,-0.65040207,0,15710,1475565891479,3
1,Linearaccel,1.2113514,2.174067,-0.7004553,0,15761,1475565891530,3
1,Linearaccel,1.007287,2.3756518,-0.5510398,0,15811,1475565891580,3
1,Linearaccel,0.29784918,2.321693,-0.9973606,0,15862,1475565891631,3
1,Linearaccel,0.14165068,2.6623964,-0.9012011,0,15912,1475565891681,3
1,Linearaccel,-0.22615576,2.654683,-0.8972038,0,15962,1475565891731,3
1,Linearaccel,-0.33129454,2.6178074,-0.82464206,0,16013,1475565891782,3
1,Linearaccel,0.26312065,2.1527739,-0.7893528,0,16063,1475565891832,3
1,Linearaccel,0.63956356,1.6486244,-0.6704191,0,16113,1475565891882,3
1,Linearaccel,1.0619302,0.8094053,-0.60851014,0,16164,1475565891933,3
1,Linearaccel,1.9470377,0.3007965,-0.5545757,0,16214,1475565891983,3
1,Linearaccel,2.0207682,-0.015826702,-0.3761295,0,16264,1475565892033,3
1,Linearaccel,-0.10869312,-0.48568726,-0.43086708,0,16315,1475565892084,3
1,Linearaccel,0.36077023,-1.3530068,-0.23465776,0,16365,1475565892134,3
1,Linearaccel,1.215847,-1.663656,-0.05681801,0,16415,1475565892184,3
1,Linearaccel,-0.9586563,-1.4259145,0.13792002,0,16466,1475565892235,3
1,Linearaccel,-1.9013557,-1.8057871,-0.0796448,0,16516,1475565892285,3
1,Linearaccel,-1.806201,-1.6950014,0.0076704025,0,16566,1475565892335,3
1,Linearaccel,-1.2358122,-1.6013429,0.091208935,0,16617,1475565892386,3
1,Linearaccel,-0.50336266,-1.7980103,0.12403834,0,16667,1475565892436,3
1,Linearaccel,-0.02379036,-1.8631835,-0.007438183,0,16718,1475565892487,3
1,Linearaccel,0.3546543,-1.5950978,-0.004589796,0,16768,1475565892537,3
1,Linearaccel,0.60642815,-1.2171614,6.2954426E-4,0,16818,1475565892587,3
1,Linearaccel,3.0196667,-1.2785568,0.23121607,0,16869,1475565892638,3
1,Linearaccel,0.2644558,0.21400142,0.24210095,0,16919,1475565892688,3
1,Linearaccel,-0.4244604,0.3356378,0.5815958,0,16969,1475565892738,3
1,Linearaccel,1.4703693,0.8761132,0.7613026,0,17020,1475565892789,3
1,Linearaccel,0.85966873,2.075054,0.86969507,0,17070,1475565892839,3
1,Linearaccel,0.0677309,1.8755913,0.8043314,0,17120,1475565892889,3
1,Linearaccel,0.60240555,2.0118203,0.38704038,0,17171,1475565892940,3
1,Linearaccel,0.52375793,2.4449086,0.3514086,0,17221,1475565892990,3
1,Linearaccel,-0.10697985,2.2969146,0.18579352,0,17271,1475565893040,3
1,Linearaccel,0.03514576,2.1593142,-0.09833264,0,17322,1475565893091,3
1,Linearaccel,0.0912199,2.0341368,-0.40605772,0,17372,1475565893141,3
1,Linearaccel,0.26457453,1.8110642,-0.5104095,0,17422,1475565893191,3
1,Linearaccel,1.326479,1.163341,-0.848747,0,17473,1475565893242,3
1,Linearaccel,2.919435,0.8355613,-1.0732996,0,17523,1475565893292,3
1,Linearaccel,2.2593737,1.0033021,-0.67007613,0,17574,1475565893343,3
1,Linearaccel,-0.96434593,0.6940112,-0.3120358,0,17624,1475565893393,3
1,Linearaccel,0.43115425,-0.51381016,-0.26401997,0,17674,1475565893443,3
1,Linearaccel,0.89177513,-0.3011198,-0.12276113,0,17725,1475565893494,3
1,Linearaccel,-0.7531729,-0.19727778,0.39614034,0,17775,1475565893544,3
1,Linearaccel,-1.3300371,-1.0766649,0.23774076,0,17825,1475565893594,3
1,Linearaccel,-1.1825628,-1.4190006,0.17203557,0,17876,1475565893645,3
1,Linearaccel,-0.6889744,-1.7354734,0.39179897,0,17926,1475565893695,3
1,Linearaccel,-0.44931602,-2.144511,0.44210935,0,17976,1475565893745,3
1,Linearaccel,0.29090405,-2.4967735,0.49275827,0,18027,1475565893796,3
1,Linearaccel,0.37918186,-2.5097804,0.4551307,0,18077,1475565893846,3
1,Linearaccel,0.9271593,-2.620678,0.5208287,0,18127,1475565893896,3
1,Linearaccel,1.2807455,-2.5773802,0.6468837,0,18178,1475565893947,3
1,Linearaccel,-1.5215597,-1.504416,0.29532182,0,18228,1475565893997,3
1,Linearaccel,-0.1483345,-1.6147234,0.2687359,0,18279,1475565894048,3
1,Linearaccel,1.1320543,-0.37156606,0.14700139,0,18329,1475565894098,3
1,Linearaccel,0.48061466,0.7248156,0.27219176,0,18379,1475565894148,3
1,Linearaccel,-0.008000374,1.3713114,-0.117017865,0,18430,1475565894199,3
1,Linearaccel,-0.12872314,1.6743693,-0.48043454,0,18480,1475565894249,3
1,Linearaccel,0.047761917,2.3449597,-0.64421237,0,18530,1475565894299,3
1,Linearaccel,0.31013346,2.6251101,-0.61125505,0,18581,1475565894350,3
1,Linearaccel,0.57757807,2.6191459,-0.62797487,0,18631,1475565894400,3
1,Linearaccel,1.6201816,2.3938322,-0.49148703,0,18681,1475565894450,3
1,Linearaccel,2.0823169,2.1920347,-0.3248992,0,18732,1475565894501,3
1,Linearaccel,3.2185416,1.7781773,-0.12235439,0,18782,1475565894551,3
1,Linearaccel,0.7252531,1.7081347,0.11235297,0,18832,1475565894601,3
1,Linearaccel,-0.32002163,0.99708176,0.1828314,0,18883,1475565894652,3
1,Linearaccel,1.319521,0.17323256,0.2552867,0,18933,1475565894702,3
1,Linearaccel,0.34855652,0.38463187,0.3758819,0,18983,1475565894752,3
1,Linearaccel,-1.403656,-0.16384959,0.47110605,0,19034,1475565894803,3
1,Linearaccel,-1.4420958,-0.75732255,0.37273705,0,19084,1475565894853,3
1,Linearaccel,-0.9081001,-0.83684087,0.5359969,0,19135,1475565894904,3
1,Linearaccel,-0.331872,-1.3440464,0.69846296,0,19185,1475565894954,3
1,Linearaccel,-0.3456974,-1.9185734,0.53778255,0,19235,1475565895004,3
1,Linearaccel,0.16207409,-2.1107533,0.3836199,0,19286,1475565895055,3
1,Linearaccel,0.44455242,-1.9594288,0.30192494,0,19336,1475565895105,3
1,Linearaccel,2.514637,-2.3197021,0.21815884,0,19386,1475565895155,3
1,Linearaccel,1.0761423,-1.6712289,0.006862402,0,19437,1475565895206,3
1,Linearaccel,-1.4142742,-1.1390324,-0.2545768,0,19487,1475565895256,3
1,Linearaccel,-0.07621384,-0.9347174,-0.23365355,0,19537,1475565895306,3
1,Linearaccel,0.87202835,0.3084886,-0.29553306,0,19588,1475565895357,3
1,Linearaccel,0.31917286,1.0936017,-0.28336787,0,19638,1475565895407,3
1,Linearaccel,-0.5058651,1.2831497,-0.71496904,0,19688,1475565895457,3
1,Linearaccel,-0.16603088,1.7212086,-0.87748563,0,19739,1475565895508,3
1,Linearaccel,-0.13925266,2.335822,-0.9497433,0,19789,1475565895558,3
1,Linearaccel,0.107308865,2.3905234,-1.0015886,0,19839,1475565895608,3
1,Linearaccel,0.88282776,2.4766884,-0.9371159,0,19890,1475565895659,3
1,Linearaccel,1.6394486,2.2956429,-0.7076514,0,19940,1475565895709,3
1,Linearaccel,1.7219119,2.092588,-0.31724143,0,19991,1475565895760,3
1,Linearaccel,3.5917034,1.5469775,-0.16437769,0,20041,1475565895810,3
1,Linearaccel,0.9841156,1.7499895,0.108804464,0,20091,1475565895860,3
1,Linearaccel,-0.8355427,0.8964915,0.09463382,0,20142,1475565895911,3
1,Linearaccel,0.91346264,-0.14434433,0.15926337,0,20192,1475565895961,3
1,Linearaccel,0.48885345,0.02909255,0.5369997,0,20242,1475565896011,3
1,Linearaccel,-1.3464909,-0.6814852,0.78930175,0,20293,1475565896062,3
1,Linearaccel,-1.4892979,-1.33092,0.4899658,0,20343,1475565896112,3
1,Linearaccel,-1.1415377,-1.7262211,0.38416505,0,20393,1475565896162,3
1,Linearaccel,-0.7347164,-2.221229,0.51239026,0,20444,1475565896213,3
1,Linearaccel,-0.39215755,-2.5224586,0.37482488,0,20494,1475565896263,3
1,Linearaccel,0.13148022,-2.3971925,0.25986063,0,20544,1475565896313,3
